distro,package,version,modified_date
edge,clucene-contribs,2.3.3.4-r19,2023-03-10
edge,nginx-mod-http-shibboleth,1.22.1-r0,2022-10-19
edge,dnstop,20140915-r5,2022-10-24
edge,chrony,4.3-r2,2023-03-04
edge,perl-package-anon,0.05-r12,2022-12-31
edge,mt-st,1.4-r1,2022-10-24
edge,lua5.3-sql-sqlite3,2.6.0-r2,2022-11-11
edge,libice-dev,1.1.1-r0,2022-12-08
edge,lvm2,2.03.20-r2,2023-03-23
edge,libsndfile-static,1.2.0-r1,2023-02-26
edge,partx,2.38.1-r5,2023-02-22
edge,imake,1.0.9-r1,2023-02-11
edge,acf-lighttpd,0.6.0-r4,2021-02-06
edge,perl-exception-class,1.45-r0,2021-08-25
edge,perl-test-without-doc,0.10-r2,2020-09-21
edge,asciidoctor,2.0.18-r0,2022-10-17
edge,rsyslog-gssapi,8.2302.0-r1,2023-03-06
edge,po4a-lang,0.69-r1,2023-02-08
edge,perl-module-runtime-doc,0.016-r5,2022-12-31
edge,gcc,12.2.1_git20220924-r9,2023-02-04
edge,daq-static,2.0.7-r1,2022-10-24
edge,bc,1.07.1-r3,2023-01-15
edge,gpm,1.20.7-r2,2022-03-30
edge,libelf,0.189-r0,2023-03-05
edge,py3-gobject3-dev,3.44.1-r0,2023-03-24
edge,slang,2.3.3-r0,2022-08-14
edge,font-dec-misc,1.0.4-r0,2023-02-28
edge,confuse-doc,3.3-r2,2022-12-26
edge,perl-xml-simple-doc,2.25-r2,2020-09-21
edge,libpaper-doc,2.0.10-r1,2023-02-26
edge,logrotate-syslog,3.21.0-r0,2022-12-14
edge,openldap-back-sock,2.6.4-r1,2023-04-04
edge,cksfv,1.3.15-r2,2022-10-24
edge,vanessa_logger-dev,0.0.10-r2,2022-10-24
edge,ruby-net-smtp-doc,0.3.1-r0,2022-04-04
edge,xxhash-dev,0.8.1-r3,2023-03-20
edge,xen-bridge,4.17.0-r2,2023-02-21
edge,ivykis-static,0.42.4-r3,2023-02-11
edge,boost1.81-stacktrace_basic,1.81.0-r1,2022-12-23
edge,encfs-lang,1.9.5-r20,2023-01-24
edge,nginx-mod-mail,1.22.1-r0,2022-10-19
edge,serf-dev,1.3.9-r10,2022-08-31
edge,vanessa_logger-doc,0.0.10-r2,2022-10-24
edge,guile-readline,3.0.8-r3,2022-10-17
edge,libpq-dev,15.2-r1,2023-03-12
edge,perl-test-notabs-doc,2.02-r2,2020-09-21
edge,linux-firmware-rtlwifi,20230404-r0,2023-04-05
edge,kamailio-geoip2,5.6.3-r2,2023-02-10
edge,lua5.3-expat,1.5.1-r0,2022-10-05
edge,czmq,4.2.1-r2,2022-04-09
edge,lua5.3-iconv,7-r2,2021-01-14
edge,swish-e-dev,2.4.7-r13,2022-10-24
edge,skalibs-static,2.13.1.1-r0,2023-04-02
edge,conntrack-tools-openrc,1.4.7-r0,2022-10-07
edge,tcl-doc,8.6.13-r0,2022-11-24
edge,perl-sub-exporter-progressive,0.001013-r3,2022-12-31
edge,linux-firmware-dsp56k,20230404-r0,2023-04-05
edge,libunistring-static,1.1-r0,2022-10-17
edge,perl-cgi-emulate-psgi-doc,0.23-r3,2022-12-31
edge,libart-lgpl,2.3.21-r7,2022-08-06
edge,aom-libs,3.6.0-r1,2023-03-12
edge,wayland-protocols,1.31-r1,2023-02-15
edge,perl-stream-buffered,0.03-r3,2022-12-31
edge,fakeroot,1.31-r0,2023-02-07
edge,perl-text-autoformat,1.75-r1,2020-09-21
edge,uwsgi-router_rewrite,2.0.21-r1,2022-11-22
edge,perl-test-mockmodule-doc,0.177.0-r0,2021-09-10
edge,lua5.3-b64,0.1-r4,2021-01-14
edge,libdwarf-dev,0.6.0-r1,2023-02-25
edge,perl-test-requiresinternet,0.05-r3,2020-09-21
edge,openssl-libs-static,3.1.0-r2,2023-03-28
edge,perl-test-taint-doc,1.08-r6,2022-12-31
edge,kamailio-postgres,5.6.3-r2,2023-02-10
edge,perl-yaml-syck-doc,1.34-r2,2022-06-08
edge,bison,3.8.2-r0,2022-07-23
edge,s6-portable-utils,2.3.0.2-r0,2023-04-02
edge,lua-b64,0.1-r4,2021-01-14
edge,dovecot,2.3.20-r8,2023-03-13
edge,ckbcomp-doc,1.218-r0,2023-03-19
edge,openjpeg-tools,2.5.0-r2,2022-12-16
edge,py3-mako,1.2.4-r0,2022-12-01
edge,arpon,3.0-r6,2022-04-09
edge,mawk-doc,1.3.4-r5,2023-04-02
edge,highlight,4.5-r0,2023-03-16
edge,highlight-fish-completion,4.5-r0,2023-03-16
edge,perl-test-nowarnings,1.06-r0,2021-09-10
edge,ghostscript-fonts,8.11-r5,2022-12-23
edge,perl-digest-hmac-doc,1.04-r1,2021-04-04
edge,rsyslog-pmsnare,8.2302.0-r1,2023-03-06
edge,ppp-chat,2.5.0-r1,2023-04-06
edge,linux-virt-dev,6.1.23-r0,2023-04-07
edge,perl-test-warnings,0.031-r0,2021-08-29
edge,libspf2,1.2.11-r1,2023-01-12
edge,libid3tag,0.16.2-r1,2023-03-15
edge,yaml-static,0.2.5-r0,2020-06-02
edge,perl-sub-exporter-doc,0.989-r0,2023-01-02
edge,syslog-ng-examples,4.1.1-r0,2023-03-11
edge,lua5.3-yaml,1.1.2-r5,2022-10-14
edge,sharutils-doc,4.15.2-r2,2022-10-24
edge,ntfs-3g,2022.10.3-r0,2022-10-31
edge,lua5.2-dbg,5.2.4-r11,2022-12-31
edge,libhistory,8.2.1-r0,2023-03-01
edge,libotr-tools,4.1.1-r4,2023-02-26
